GEO_ID,NAME,P_Total_HH_SingleFamily,P_Total_HH_W.MinorsSingleFamily,P_Total_IAP_B,P_Total_IAP_W,P_Total_IBP_B,P_Total_IBP_W,Male_FT_Median_Earnings,Female_FT_Median_Earnings,Male_FT_Median_Earnings_B,Female_FT_Median_Earnings_B,Male_FT_Median_Earnings_W,Female_FT_Median_Earnings_W,Male_Other_Median_Earnings,Female_Other_Median_Earnings,Male_Other_Median_Earnings_B,Female_Other_Median_Earnings_B,Male_Other_Median_Earnings_W,Female_Other_Median_Earnings_W,Total_Unemployment_Rate,P_Total_Car_truck_van_B,P_Total_Car_truck_van_W,P_Total_HHOnSNAP_W.MinorsSingleFamily
0500000US28101,"Newton County, Mississippi",23.6329588,16.77902622,67.93930494,85.76115986,32.06069506,14.23884014,37565,30835,27635,22686,42152,38030,8979,10883,4347,9567,15167,12500,7.670486781,97.12020033,94.53773403,16.77902622
0500000US28103,"Noxubee County, Mississippi",29.31034483,16.7916042,56.13397378,88.08539945,43.86602622,11.91460055,48289,32109,46734,28872,54003,44934,11976,6746,6698,7121,18178,4583,14.8427402,96.8646256,91.31652661,16.7916042
0500000US28105,"Oktibbeha County, Mississippi",14.82780429,9.935031334,65.22928686,73.79459981,34.77071314,26.20540019,46906,33219,35596,25808,52684,37710,6776,4771,8758,5306,6124,4211,9.475841619,91.37223975,92.83118088,9.935031334
0500000US28107,"Panola County, Mississippi",22.98979838,14.86866415,75.12510183,85.04661508,24.87489817,14.95338492,39708,30374,31144,27050,47836,35628,10600,10466,8953,10650,11011,10320,7.556106092,95.84130851,93.04007231,14.86866415
0500000US28109,"Pearl River County, Mississippi",17.86576533,11.67551907,58.80270853,85.80723423,41.19729147,14.19276577,47086,32755,27879,25877,50536,34480,10742,9499,NA,8518,11409,9737,10.01233465,94.78798587,94.74239396,11.67551907
0500000US28111,"Perry County, Mississippi",17.87310098,11.95263628,68.90792291,82.82956835,31.09207709,17.17043165,39813,27716,31500,23182,40697,28491,15636,6913,7137,10094,19327,6113,10.15526647,91.00899101,90.08344031,11.95263628
0500000US28113,"Pike County, Mississippi",23.44606336,18.28632536,54.12852876,83.84565841,45.87147124,16.15434159,36755,28814,30823,24848,47716,32222,8839,8750,8931,8861,9074,8082,7.726225732,91.21495327,94.67937875,18.28632536
0500000US28115,"Pontotoc County, Mississippi",21.08805901,14.73490088,72.56503978,85.08685272,27.43496022,14.91314728,36965,28155,32703,21742,38111,29145,10725,10120,5952,7912,12122,10635,6.304392517,92.22440945,97.35291367,14.73490088
0500000US28117,"Prentiss County, Mississippi",17.71740271,10.44791776,62.88557214,81.03834177,37.11442786,18.96165823,36486,29624,26938,17524,37670,33043,15545,9474,NA,13750,16192,8828,6.950146628,95.0310559,95.74627799,10.44791776
0500000US28119,"Quitman County, Mississippi",30.72916667,18.97786458,59.11675512,71.05788423,40.88324488,28.94211577,34010,26087,28527,23715,46477,43194,11402,9014,11339,10042,11250,4286,24.32695427,92.91587603,95.91527988,18.97786458
